"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","AÑO","MES","DIA","HORA","MINUTO"
"225","5","30","52","64,7","0","5853","2018","5","9","12","3"
"226","2","31","17","61,49","0","5888","2018","5","9","12","3"
"227","5","31","51","64,86","0","5835","2018","5","9","12","4"
"228","2","31","17","61,49","0","5876","2018","5","9","12","4"
"229","5","31","51","64,54","0","5829","2018","5","9","12","5"
"230","2","30","18","61,65","0","5876","2018","5","9","12","5"
"231","5","30","51","64,86","0","5829","2018","5","9","12","6"
"232","2","30","18","61,65","0","5876","2018","5","9","12","6"
"233","5","30","51","65,18","0","5824","2018","5","9","12","7"
"234","2","30","18","61,81","0","5876","2018","5","9","12","7"
"235","5","30","51","65,18","0","5841","2018","5","9","12","8"
"236","2","30","18","61,49","0","5882","2018","5","9","12","8"
"237","5","30","52","65,34","0","5841","2018","5","9","12","9"
"238","2","30","18","61,81","0","5882","2018","5","9","12","9"
"239","5","30","53","65,34","0","5841","2018","5","9","12","10"
"240","2","30","18","61,81","0","5882","2018","5","9","12","10"
"241","5","30","53","65,34","0","5841","2018","5","9","12","11"
"242","2","30","18","61,81","0","5888","2018","5","9","12","11"
"243","5","30","53","65,34","0","5847","2018","5","9","12","12"
"244","2","30","18","61,81","0","5888","2018","5","9","12","12"
"245","5","30","53","65,18","0","5865","2018","5","9","12","13"
"246","2","31","17","61,65","0","5894","2018","5","9","12","13"
"247","5","30","53","65,18","0","5865","2018","5","9","12","14"
"248","2","32","17","61,65","1","5900","2018","5","9","12","14"
"249","5","31","52","64,86","0","5870","2018","5","9","12","15"
"250","2","33","16","61,81","1","5900","2018","5","9","12","15"
"251","5","31","52","64,86","0","5841","2018","5","9","12","16"
"252","2","34","16","61,65","1","5882","2018","5","9","12","16"
"253","5","31","51","65,02","0","5847","2018","5","9","12","17"
"254","2","33","16","61,81","1","5888","2018","5","9","12","17"
"255","5","31","51","65,18","0","5847","2018","5","9","12","18"
"256","2","32","17","61,81","1","5888","2018","5","9","12","18"
"257","5","31","49","65,34","0","5859","2018","5","9","12","19"
"258","2","33","16","61,81","1","5894","2018","5","9","12","19"
"259","5","31","49","65,18","0","5853","2018","5","9","12","20"
"260","2","32","17","61,65","1","5894","2018","5","9","12","20"
"261","5","31","49","65,34","0","5835","2018","5","9","12","21"
"262","2","32","17","61,49","1","5882","2018","5","9","12","21"
"263","5","31","47","65,34","0","5841","2018","5","9","12","22"
