id_Variable;id_nodo;Temperatura;Humedad;Hum. Tierra;Nivel_UV;intlum;ano;MES;DIA;HORA;MINUTO;
3169;2;31;17;61,65;0;5859;2018;5;9;11;24;
3170;4;30;44;58,44;0;5806;2018;5;9;11;24;
3171;3;31;36;58,28;0;5812;2018;5;9;11;25;
3172;6;32;36;0,01;7;5829;2018;5;9;11;25;
3173;5;31;36;61;0;5812;2018;5;9;11;25;
3174;2;31;17;61,65;0;5859;2018;5;9;11;25;
3175;4;30;44;58,6;0;5806;2018;5;9;11;25;
3176;3;31;35;58,6;0;5812;2018;5;9;11;26;
3177;6;31;36;0,01;7;5829;2018;5;9;11;26;
3178;5;31;36;61;0;5812;2018;5;9;11;26;
3179;2;31;17;61,65;0;5859;2018;5;9;11;26;
3180;4;30;43;58,6;0;5806;2018;5;9;11;26;
3181;3;31;35;58,6;0;5812;2018;5;9;11;27;
3182;6;31;36;0,01;7;5835;2018;5;9;11;27;
3183;5;31;37;60,84;0;5818;2018;5;9;11;27;
3184;2;31;17;61,81;0;5865;2018;5;9;11;27;
3185;4;30;43;58,76;0;5806;2018;5;9;11;27;
3186;3;31;35;58,76;0;5812;2018;5;9;11;28;
3187;6;31;36;0,01;7;5835;2018;5;9;11;28;
3188;5;30;39;61,16;0;5818;2018;5;9;11;28;
3189;2;31;17;61,65;0;5865;2018;5;9;11;28;
3190;4;30;44;58,92;0;5812;2018;5;9;11;28;
3191;3;31;36;59,4;0;5812;2018;5;9;11;29;
3192;6;31;35;0,01;7;5829;2018;5;9;11;29;
3193;5;30;37;61,65;0;5818;2018;5;9;11;29;
3194;2;31;17;61,81;0;5865;2018;5;9;11;29;
3195;4;30;44;59,08;0;5812;2018;5;9;11;29;
3196;3;31;36;59,4;0;5812;2018;5;9;11;30;
3197;6;31;35;0,01;7;5835;2018;5;9;11;30;
3198;5;30;37;61,49;0;5818;2018;5;9;11;30;
3199;2;31;17;61,97;0;5865;2018;5;9;11;30;
3200;4;30;44;59,24;0;5812;2018;5;9;11;30;
3201;3;31;35;59,4;0;5812;2018;5;9;11;31;
3202;6;31;35;0,01;7;5835;2018;5;9;11;31;
3203;2;31;17;61,65;0;5865;2018;5;9;11;31;
3204;4;30;43;59,24;0;5812;2018;5;9;11;31;
3205;3;31;35;59,72;0;5812;2018;5;9;11;32;
3206;5;30;37;61,65;0;5818;2018;5;9;11;32;
3207;6;31;36;0,01;7;5835;2018;5;9;11;32;
3208;2;31;17;61,65;0;5865;2018;5;9;11;32;
3209;4;30;43;59,4;0;5812;2018;5;9;11;32;
3210;3;31;34;59,72;0;5812;2018;5;9;11;33;
3211;5;30;37;61,97;0;5818;2018;5;9;11;33;
3212;6;31;36;0,01;7;5835;2018;5;9;11;33;
3213;2;31;17;61,81;0;5865;2018;5;9;11;33;
3214;4;30;43;59,4;0;5812;2018;5;9;11;33;
3215;3;31;35;60,36;0;5812;2018;5;9;11;34;
3216;5;30;37;61,97;0;5818;2018;5;9;11;34;
3217;6;31;36;0,01;7;5835;2018;5;9;11;34;
3218;2;31;17;61,81;0;5865;2018;5;9;11;34;
3219;4;30;43;59,4;0;5812;2018;5;9;11;35;
3220;3;31;35;60,68;0;5812;2018;5;9;11;35;
3221;5;30;37;62,61;0;5818;2018;5;9;11;35;
3222;6;31;35;0,01;7;5835;2018;5;9;11;35;
3223;2;31;17;61,81;0;5865;2018;5;9;11;35;
3224;4;30;43;59,72;0;5806;2018;5;9;11;36;
3225;3;31;35;60,52;0;5812;2018;5;9;11;36;
3226;5;30;37;62,29;0;5818;2018;5;9;11;36;
3227;6;31;35;0,01;7;5835;2018;5;9;11;36;
3228;2;31;17;61,97;0;5865;2018;5;9;11;36;
3229;4;30;43;59,72;0;5812;2018;5;9;11;37;
3230;3;31;35;60,52;0;5812;2018;5;9;11;37;
3231;5;30;37;62,61;0;5818;2018;5;9;11;37;
3232;6;31;35;0,01;7;5835;2018;5;9;11;37;
3233;2;31;17;61,97;0;5865;2018;5;9;11;37;
3234;3;31;36;60,52;0;5818;2018;5;9;11;38;
3235;5;30;38;62,61;0;5818;2018;5;9;11;38;
3236;6;31;36;0,01;7;5835;2018;5;9;11;38;
3237;2;31;17;61,81;0;5865;2018;5;9;11;38;
3238;4;-;0;0;0;0;2018;5;9;11;39;
3239;3;31;36;60,52;0;5818;2018;5;9;11;39;
3240;5;30;41;63,09;0;5824;2018;5;9;11;39;
3241;2;31;17;61,81;0;5870;2018;5;9;11;39;
3242;6;-;0;0;0;0;2018;5;9;11;39;
3243;4;30;45;59,88;0;5818;2018;5;9;11;40;
3244;3;31;39;60,36;0;5818;2018;5;9;11;40;
3245;5;30;42;62,93;0;5824;2018;5;9;11;40;
3246;2;30;18;61,65;0;5870;2018;5;9;11;40;
3247;6;31;40;0,01;7;5841;2018;5;9;11;40;
3248;4;30;45;60,04;0;5818;2018;5;9;11;41;
3249;3;30;42;60,52;0;5818;2018;5;9;11;41;
3250;5;30;44;63,25;0;5824;2018;5;9;11;41;
3251;2;30;18;61,65;0;5870;2018;5;9;11;41;
3252;6;30;42;0,01;7;5841;2018;5;9;11;41;
3253;3;30;43;60,68;0;5818;2018;5;9;11;42;
3254;5;30;45;63,25;0;5824;2018;5;9;11;42;
3255;2;30;18;61,65;0;5870;2018;5;9;11;42;
3256;6;30;43;0,01;7;5841;2018;5;9;11;42;
3257;4;-;0;0;0;0;2018;5;9;11;43;
3258;3;30;43;60,84;0;5818;2018;5;9;11;43;
3259;5;30;46;63,57;0;5824;2018;5;9;11;43;
3260;2;30;18;61,65;0;5870;2018;5;9;11;43;
3261;6;30;44;0,01;7;5841;2018;5;9;11;43;
3262;3;30;44;60,84;0;5818;2018;5;9;11;44;
3263;4;30;50;60,36;0;5824;2018;5;9;11;44;
3264;2;30;18;61,65;0;5870;2018;5;9;11;44;
3265;6;30;45;0,01;7;5847;2018;5;9;11;44;
3266;3;30;45;60,84;0;5818;2018;5;9;11;45;
3267;4;30;52;60,68;0;5824;2018;5;9;11;45;
3268;5;30;49;63,57;0;5829;2018;5;9;11;45;
3269;2;30;18;61,65;0;5870;2018;5;9;11;45;
3270;6;30;45;0,01;7;5847;2018;5;9;11;45;
3271;3;30;45;61;0;5824;2018;5;9;11;46;
3272;4;30;52;60,52;0;5824;2018;5;9;11;46;
