TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA,TIME
26,92,70.47,0,5835,15,2018-05-09 15:20:00
26,92,70.63,0,5835,15,2018-05-09 15:21:00
26,92,70.79,0,5829,15,2018-05-09 15:22:00
26,92,70.79,0,5824,15,2018-05-09 15:23:00
26,92,70.79,0,5824,15,2018-05-09 15:24:00
26,92,70.47,0,5835,15,2018-05-09 15:25:00
26,92,70.47,0,5835,15,2018-05-09 15:26:00
26,92,70.47,0,5829,15,2018-05-09 15:27:00
26,92,70.47,0,5824,15,2018-05-09 15:28:00
26,92,70.63,0,5824,15,2018-05-09 15:29:00
26,92,70.47,0,5829,15,2018-05-09 15:30:00
26,92,70.63,0,5835,15,2018-05-09 15:31:00
26,92,70.63,0,5829,15,2018-05-09 15:32:00
26,92,70.63,0,5829,15,2018-05-09 15:33:00
26,92,70.63,0,5829,15,2018-05-09 15:34:00
26,92,70.63,0,5824,15,2018-05-09 15:35:00
26,92,70.79,0,5812,15,2018-05-09 15:36:00
26,92,70.63,0,5812,15,2018-05-09 15:37:00
26,92,70.63,0,5812,15,2018-05-09 15:38:00
26,92,70.47,0,5806,15,2018-05-09 15:39:00
26,92,70.47,0,5806,15,2018-05-09 15:40:00
26,92,70.47,0,5800,15,2018-05-09 15:41:00
26,92,70.31,0,5800,15,2018-05-09 15:42:00
26,92,70.31,0,5794,15,2018-05-09 15:43:00
26,92,70.15,0,5794,15,2018-05-09 15:44:00
26,92,69.99,0,5794,15,2018-05-09 15:45:00
26,90,70.31,0,5794,15,2018-05-09 15:46:00
26,90,70.47,0,5794,15,2018-05-09 15:47:00
26,92,70.31,0,5782,15,2018-05-09 15:48:00
26,92,70.31,0,5782,15,2018-05-09 15:49:00
26,92,70.15,0,5782,15,2018-05-09 15:50:00
26,92,70.15,0,5782,15,2018-05-09 15:51:00
26,92,70.15,0,5777,15,2018-05-09 15:52:00
26,92,69.99,0,5782,15,2018-05-09 15:53:00
26,92,70.15,0,5782,15,2018-05-09 15:54:00
26,92,69.99,0,5782,15,2018-05-09 15:55:00
