"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","TIME"
"232","2","30","18","61.65","0","5876","2018-05-09 12:06:00"
"233","5","30","51","65.18","0","5824","2018-05-09 12:07:00"
"234","2","30","18","61.81","0","5876","2018-05-09 12:07:00"
"235","5","30","51","65.18","0","5841","2018-05-09 12:08:00"
"236","2","30","18","61.49","0","5882","2018-05-09 12:08:00"
"237","5","30","52","65.34","0","5841","2018-05-09 12:09:00"
"238","2","30","18","61.81","0","5882","2018-05-09 12:09:00"
"239","5","30","53","65.34","0","5841","2018-05-09 12:10:00"
"240","2","30","18","61.81","0","5882","2018-05-09 12:10:00"
"241","5","30","53","65.34","0","5841","2018-05-09 12:11:00"
"242","2","30","18","61.81","0","5888","2018-05-09 12:11:00"
"243","5","30","53","65.34","0","5847","2018-05-09 12:12:00"
"244","2","30","18","61.81","0","5888","2018-05-09 12:12:00"
"245","5","30","53","65.18","0","5865","2018-05-09 12:13:00"
"246","2","31","17","61.65","0","5894","2018-05-09 12:13:00"
"247","5","30","53","65.18","0","5865","2018-05-09 12:14:00"
"248","2","32","17","61.65","1","5900","2018-05-09 12:14:00"
"249","5","31","52","64.86","0","5870","2018-05-09 12:15:00"
"250","2","33","16","61.81","1","5900","2018-05-09 12:15:00"
"251","5","31","52","64.86","0","5841","2018-05-09 12:16:00"
"252","2","34","16","61.65","1","5882","2018-05-09 12:16:00"
"253","5","31","51","65.02","0","5847","2018-05-09 12:17:00"
"254","2","33","16","61.81","1","5888","2018-05-09 12:17:00"
"255","5","31","51","65.18","0","5847","2018-05-09 12:18:00"
"256","2","32","17","61.81","1","5888","2018-05-09 12:18:00"
"257","5","31","49","65.34","0","5859","2018-05-09 12:19:00"
"258","2","33","16","61.81","1","5894","2018-05-09 12:19:00"
"259","5","31","49","65.18","0","5853","2018-05-09 12:20:00"
"260","2","32","17","61.65","1","5894","2018-05-09 12:20:00"
"261","5","31","49","65.34","0","5835","2018-05-09 12:21:00"
"262","2","32","17","61.49","1","5882","2018-05-09 12:21:00"
"263","5","31","47","65.34","0","5841","2018-05-09 12:22:00"
"264","2","32","17","61.65","0","5882","2018-05-09 12:22:00"
"265","5","31","47","66.3","0","5876","2018-05-09 12:23:00"
"266","2","31","17","61.65","1","5900","2018-05-09 12:23:00"
"267","5","31","48","65.82","0","5870","2018-05-09 12:24:00"
"268","2","31","17","61.49","1","5912","2018-05-09 12:24:00"
"269","5","31","49","65.5","0","5870","2018-05-09 12:25:00"
"270","2","32","17","61.49","1","5900","2018-05-09 12:25:00"
"271","5","31","49","65.82","0","5870","2018-05-09 12:26:00"
"272","2","32","17","61.49","1","5929","2018-05-09 12:26:00"
"273","5","32","50","65.66","0","5870","2018-05-09 12:27:00"
"274","2","32","17","61.49","0","5935","2018-05-09 12:27:00"
"275","5","32","49","65.66","0","5870","2018-05-09 12:28:00"
"276","2","33","16","61.65","1","5923","2018-05-09 12:28:00"
"277","5","32","48","65.98","0","5876","2018-05-09 12:29:00"
"278","2","33","16","61.65","1","5906","2018-05-09 12:29:00"
"279","5","32","48","65.98","0","5870","2018-05-09 12:30:00"
"280","2","33","16","61.65","0","5912","2018-05-09 12:30:00"
"281","5","32","48","66.46","0","5870","2018-05-09 12:31:00"
"282","2","32","17","61.65","1","5917","2018-05-09 12:31:00"
"283","5","32","47","65.98","0","5859","2018-05-09 12:32:00"
"284","2","32","17","61.49","1","5917","2018-05-09 12:32:00"
"285","5","32","46","66.3","0","5865","2018-05-09 12:33:00"
"286","2","32","17","61.49","1","5935","2018-05-09 12:33:00"
"287","5","32","46","66.14","0","5870","2018-05-09 12:34:00"
"288","2","32","17","61.49","1","5923","2018-05-09 12:34:00"
"289","5","32","46","66.46","0","5870","2018-05-09 12:35:00"
"290","2","32","17","61.49","0","5923","2018-05-09 12:35:00"
"291","5","32","46","66.62","0","5870","2018-05-09 12:36:00"
"292","2","32","17","61.49","1","5900","2018-05-09 12:36:00"
"293","5","32","46","66.46","0","5870","2018-05-09 12:37:00"
"294","2","32","17","61.49","1","5900","2018-05-09 12:37:00"
